Categories,Tabelog_Count,Tripadvisor_Count,Total_Count
Japanese,0,119,119
Sushi,43,4,47
Japanese Cuisine,41,0,41
French,27,2,29
Bar,1,15,16
Chinese,10,4,14
Italian,7,7,14
Yakiniku (BBQ Beef),13,0,13
Innovative,10,0,10
Yakitori (Grilled chicken skewers),10,0,10
American,0,9,9
Steakhouse,0,8,8
Cafe,0,7,7
Tempura,7,0,7
Brew Pub,0,5,5
International,0,3,3
Crab,3,0,3
Barbecue,0,3,3
Unagi (Eel),3,0,3
Spain,3,0,3
Chicken dishes,2,0,2
Seafood,0,2,2
Ramen,2,0,2
Cake,2,0,2
Shabu shabu (Japanese hotpot),2,0,2
Indian,0,2,2
Beef dishes,2,0,2
Contemporary,0,2,2
Soba (Buckwheat noodles),1,0,1
Steak,1,0,1
Tonkatsu (Pork cutlet),1,0,1
Vegetarian friendly,0,1,1
Street Food,0,1,1
Bistro,1,0,1
Sichuan Cuisine,1,0,1
Quick Bites,0,1,1
Bread,1,0,1
Irish,0,1,1
Houseboat and cruising,1,0,1
Horumon (BBQ Offel),1,0,1
Grilled tripe,1,0,1
Grill,0,1,1
Fugu (Pufferfish),1,0,1
Curry,1,0,1
Creative,1,0,1
$$$$,0,1,1
